nextJobOne,state,city,CaBRating,CaVRating,jobId,numJobs,nextJobTwo,CORating,company,SLRating,WLBRating,title,id
technical writer contracted,IL,Chicago,4.1,4.1,58559,2,instructional designer,3.4,Apple,3.5,3.3,Technical Writer,150
physical therapist aide,IL,Chicago,4.1,4.1,2507,2,student physical therapist,3.4,Apple,3.5,3.3,Physical Therapist,151
,IL,Chicago,4.1,4.1,183595,2,,3.4,Apple,3.5,3.3,Software Quality Assurance (SQA) Engineer,152
customer service representative,MN,Apple Valley,4.1,4.1,34413,38,customer service,3.4,Apple,3.5,3.3,Host,153
prep cook,MN,Apple Valley,4.1,4.1,45091,38,lead cook,3.4,Apple,3.5,3.3,Cook,154
manager,MN,Apple Valley,4.1,4.1,11520,37,,3.4,Apple,3.5,3.3,Server,155
bus driver,MN,Apple Valley,4.1,4.1,57737,10,receptionist,3.4,Apple,3.5,3.3,Massage Therapist,156
security guard,MN,Apple Valley,4.1,4.1,57255,6,medical assistant,3.4,Apple,3.5,3.3,Caregiver,157
,MN,Apple Valley,4.1,4.1,21392,5,,3.4,Apple,3.5,3.3,Genius,158
,MN,Apple Valley,4.1,4.1,9245,5,,3.4,Apple,3.5,3.3,Apple Expert,159
,MN,Apple Valley,4.1,4.1,9259,5,,3.4,Apple,3.5,3.3,Apple Specialist,160
project manager,MN,Apple Valley,4.1,4.1,62619,5,business development manager,3.4,Apple,3.5,3.3,Business Specialist,161
,MN,Apple Valley,4.1,4.1,160696,5,,3.4,Apple,3.5,3.3,Apple Creative,162
analyst,MN,Apple Valley,4.1,4.1,30663,5,senior analyst,3.4,Apple,3.5,3.3,Specialist,163
manager,MN,Apple Valley,4.1,4.1,50838,5,,3.4,Apple,3.5,3.3,Sales Associate,164
,MN,Apple Valley,4.1,4.1,605825,5,,3.4,Apple,3.5,3.3,Apple Business Specialist,165
,MN,Apple Valley,4.1,4.1,59883,5,,3.4,Apple,3.5,3.3,Creative,166
manager,MN,Apple Valley,4.1,4.1,30513,5,senior systems engineer,3.4,Apple,3.5,3.3,Solutions Engineer,167
customer service representative,MN,Apple Valley,4.1,4.1,35961,5,customer service rep,3.4,Apple,3.5,3.3,Service Specialist,168
business analyst,MN,Apple Valley,4.1,4.1,31973,5,contractor,3.4,Apple,3.5,3.3,Expert,169
